hikeID,hike_name,region,distance_kms,elevation_mts,difficulty_level,stars,num_reviews,user_ratings,route_type_De punto a punto,route_type_Ida y vuelta,dog_friendly,kid_friendly,camping,trekking,near_water,mountain_biking,great_views,bird_watching,climbing,forests,trail_running,historic_place
247,Vizcaya de Lado,coahuila de zaragoza,5.6,327.0,1,5.0,1,[{'JuanCarlos Leon': '5'}],0,1,0,1,0,1,0,0,1,1,0,1,1,0
3,Ajusco via Valle de las Cantimploras Loop,ciudad de méxico,6.4,506.0,3,5.0,1,[{'Jose F.': '5'}],0,0,1,0,0,1,0,0,1,1,0,0,1,0
130,Las Canastas Loop,chiapas,7.2,341.0,2,5.0,5,"[{'David Benjamin ': '5'}, {'David Benjamin ': '5'}, {'David Benjamin ': '5'}, {'David Benjamin ': '5'}, {'David Benjamin ': '5'}]",0,0,0,0,0,1,1,0,1,1,0,1,0,0
204,Ruta del Peregrino Talpa,jalisco,72.3,2022.0,3,5.0,2,"[{'Dany Vic': '5'}, {'Dany Vic': '5'}]",1,0,0,0,1,1,0,0,1,0,0,0,0,0
237,"Tierras Altas, Alta Tension, Muro, Disney and F1",ciudad de méxico,23.0,1134.0,3,5.0,1,[{'Pedro Perusquia': '5'}],0,0,0,0,0,1,0,1,1,0,1,1,0,0
49,Cerro Gordo e Izar Loop,estado de méxico,16.7,862.0,2,5.0,1,[{'Pedro Perusquia': '5'}],0,0,0,0,0,0,0,1,1,1,0,1,0,0
81,Cuatlapanga via San Jose Teacalco,tlaxcala,5.6,349.0,2,5.0,1,[{'Jorge Carrillo': '5'}],0,1,1,1,0,1,0,0,1,1,1,1,1,1
5,Alligator Cove,baja california,8.5,263.0,2,4.0,1,[{'Donna Miller': '4'}],0,1,0,0,0,1,0,0,1,1,0,0,0,0
129,Las Amapas-La Noria,nayarit,14.3,1263.0,3,5.0,2,"[{'C Hdez V': '5'}, {'Adrián Hernández': '5'}]",1,0,1,0,1,1,0,0,1,1,0,1,1,0
250,Yelapa Upper Cascada Trail,jalisco,7.4,163.0,2,4.7,3,"[{'Sharon D.': '5'}, {'Ross Hutcheon': '4'}, {'Hayley Crabtree': '5'}]",0,1,0,0,0,1,1,0,1,0,0,0,0,0
246,Villa del Palmar ,baja california sur,9.5,358.0,2,5.0,6,"[{'Martin Ruiz': '5'}, {'Carrie Butler': '5'}, {'Jeff Remillard': '5'}, {'Jeff Remillard': '5'}, {'Teresa Howes': '5'}, {'Teresa Howes': '5'}]",0,0,0,0,0,1,0,0,1,1,1,0,0,0
226,Sierra Santa Rosa,guanajuato,8.5,353.0,2,4.5,2,"[{'Sergio Cobo': '5'}, {'Jorge Carrillo': '4'}]",0,0,0,1,0,1,1,1,0,1,0,1,0,0
72,Cima Sur,sonora,3.7,227.0,2,5.0,2,"[{'Andrea Aello': '5'}, {'Daniela Salido': '5'}]",0,1,0,0,0,1,0,0,1,0,0,0,0,0
69,Chichen Itza and The Sacred Cenote Trail,yucatán,4.7,103.0,1,5.0,5,"[{'Tatiana Ocasio': '5'}, {'Jason R.': '5'}, {'Conner Davis': '5'}, {'Joseph Schimmel': '5'}, {'George Wailand': '5'}]",0,0,0,1,0,1,0,0,1,0,0,0,0,1
118,Juventino Rosas a Naranjillo,guanajuato,20.9,535.0,2,3.8,12,"[{'Salvador  Pantoja': '4'}, {'Salvador  Pantoja': '5'}, {'Salvador  Pantoja': '5'}, {'Salvador  Pantoja': '3'}, {'Salvador  Pantoja': '3'}, {'Salvador  Pantoja': '3'}, {'Salvador  Pantoja': '4'}, {'Salvador  Pantoja': '3'}, {'Salvador  Pantoja': '5'}, {'Salvador  Pantoja': '2'}, {'Salvador  Pantoja': '3'}, {'Salvador  Pantoja': '5'}]",0,0,0,0,0,1,0,0,1,0,0,0,0,0
242,Ursulo Galvan Canyon,baja california,6.9,107.0,2,4.0,1,[{'sergio chairez': '4'}],0,0,0,0,0,1,0,0,1,0,0,0,0,0
91,Dona Petra MTB Loop,baja california,6.8,229.0,2,2.0,1,[{'Octavio Guzmán': '2'}],0,0,0,0,0,1,0,1,0,0,0,0,0,0
196,Punta Gorda,baja california sur,6.0,133.0,2,5.0,1,[{'Monica Crowe': '5'}],0,1,0,0,0,1,0,0,1,1,0,0,0,0
139,Mega Carrito,michoacán,100.9,869.0,2,5.0,1,[{'Rag Alva': '5'}],0,0,0,0,0,1,0,1,1,0,0,0,0,0
156,Nicolas Copernico Trail Loop,oaxaca,6.6,299.0,1,4.5,2,"[{'KT M.': '4'}, {'Jose Garcia': '5'}]",0,0,1,1,0,1,0,0,1,0,0,0,1,1
159,Palm Beach Trail,baja california sur,2.6,19.0,1,4.5,4,"[{'Bill Crain': '5'}, {'Andrew D.': '4'}, {'Bill Crain': '4'}, {'Denise Crain': '5'}]",0,1,1,1,0,1,0,0,1,1,0,1,0,0
34,Campo 9 to Playa Escondido,baja california,9.8,278.0,2,4.0,3,"[{'Edde Barragan': '4'}, {'Mariel Carrasco': '4'}, {'Donna Miller': '4'}]",0,1,0,0,0,1,0,0,1,0,0,0,0,0
233,The Jesuit Cave - North Approach,guanajuato,6.9,250.0,2,5.0,3,"[{'Adriana D.': '5'}, {'Olivet Vollmet': '5'}, {'Robert Baines': '5'}]",0,0,1,1,0,1,0,0,1,1,0,1,1,1
23,Bravo Valley Dam Trail ,estado de méxico,7.6,504.0,2,3.0,1,[{'Caum Jones': '3'}],0,1,0,0,0,1,1,0,1,1,0,1,1,0
37,Cascada Ensenada,baja california,10.3,460.0,2,3.3,3,"[{'Ken Tramp': '2'}, {'Carlos Morales': '3'}, {'Donna Miller': '5'}]",0,1,0,0,0,1,0,0,1,0,0,1,1,0
144,Mirador Peña del Cuervo y Dos Aguas,estado de hidalgo,9.3,556.0,2,4.5,2,"[{'Rob Shearer': '5'}, {'Chiara Costanzo': '4'}]",0,0,0,0,0,1,0,0,1,0,0,0,0,0
208,San Judas Canyon (Huasteca) Pass,nuevo león,12.7,807.0,3,4.0,2,"[{'Manuel Solis': '4'}, {'Marcelo Vasqiez': '4'}]",0,1,0,0,0,1,0,0,1,1,0,1,0,0
12,Balandra Beach Trail ,baja california sur,4.3,128.0,1,5.0,3,"[{'Randy Rucker': '5'}, {'Maxine Thevenot': '5'}, {'Mike Hart': '5'}]",0,0,0,0,0,1,0,0,1,1,0,0,0,0
210,Santa Catarina River Trail ,nuevo león,54.4,566.0,2,5.0,1,[{'Douglas Serrano': '5'}],0,1,0,1,0,1,1,1,1,1,0,1,1,0
100,El Ocotal Loop,ciudad de méxico,3.7,111.0,2,4.3,4,"[{'Miguel Espinoza': '4'}, {'Pablo Santos': '5'}, {'saul arizmendi martinez': '5'}, {'ELI BERLIN': '3'}]",0,0,1,0,0,1,0,0,0,0,0,1,1,0
132,Liz'a Arroyo Crossing to Fig Tree Trail,baja california sur,1.6,24.0,1,5.0,1,[{'Midori Midori': '5'}],0,1,0,0,0,1,0,0,1,1,0,0,0,0
225,Sierra Chincua,michoacán,4.2,180.0,1,5.0,1,[{'Alex Lusak': '5'}],0,1,0,0,0,1,0,0,1,1,0,1,0,0
239,Todos Santos Sugar Port Trail,baja california sur,6.9,268.0,2,4.7,15,"[{'Kathryn User': '4'}, {'Cy Wakeman': '5'}, {'Kha Hoang': '5'}, {'Adventure A.': '5'}, {'Rosina Ebneter': '4'}, {'Doug Garman': '5'}, {'Steph Gregerson': '5'}, {'Bill Crain': '5'}, {'Neset Pirkul': '5'}, {'Alicia Carr': '4'}, {'Andrea Mota': '4'}, {'Chris Lankford': '5'}, {'Heather Mastakas': '5'}, {'Eric Howery': '4'}, {'Bill Crain': '5'}]",0,1,1,1,0,1,0,1,1,0,1,0,1,1
80,Costa Azul Canyon,baja california sur,4.7,84.0,1,4.0,5,"[{'Todd Boley': '5'}, {'Sebastian  Perezpavon': '5'}, {'Sebastian  Perezpavon': '5'}, {'Fernando Soto': '3'}, {'Xerchx Leon': '2'}]",0,1,1,1,0,1,0,0,1,1,0,0,1,0
234,The Lioness Waterfall ,ciudad de méxico,8.9,522.0,2,5.0,1,[{'Julien Blaise': '5'}],0,1,0,0,0,1,0,1,1,1,0,1,1,0
128,Laguna Zempoala,estado de méxico,4.5,265.0,1,5.0,1,[{'Katherine Fisher': '5'}],0,1,0,0,0,1,1,0,1,0,0,0,0,0
